"name","address","city","state","zip","inspection_score","rating"
"wing wings","422 haight st","San Francisco","CA","94117","92.0","3.5"
"breadbelly","1408 clement st","San Francisco","CA","94118","96.0","4.5"
"the creamery","685 04th st","San Francisco","CA","94107","90.0","3.0"
"monsieur benjamin","451 gough st","San Francisco","CA","94102","98.0","4.0"
"platform 248","248 09 st","San Francisco","CA","94103","88.0","4.0"
"cinderella bakery & cafe","0436 balboa st","San Francisco","CA","94118","87.0","4.0"
"wok this way","560 balboa st","San Francisco","CA","94118","72.0","4.0"
"pete's deli & cafe","1661 divisadero st","San Francisco","CA","94115","81.0","4.0"
"bunn mike","300 de haro st","San Francisco","CA","94103","84.0","4.0"
"earth's coffee","3400 geary blvd","San Francisco","CA","94118","96.0","4.0"
"yummy dumpling","1708 irving st","San Francisco","CA","94122","90.0","4.5"
"eightea","91 06th st","San Francisco","CA","94103","76.0","3.5"
"the bagel bakery cafe","5351 geary blvd","San Francisco","CA","94121","96.0","3.0"
"saucy asian","3801 17th st","San Francisco","CA","94110","96.0","4.0"
"lovejoy's tea room","1351 church st","San Francisco","CA","94114","92.0","4.5"
"pacific food mart","2199 sutter st","San Francisco","CA","94115","81.0","4.5"
"the cheesecake factory","251 geary st, 8th floor","San Francisco","CA","94102","94.0","3.0"
"mai mai sandwich & bakery","750 clement st","San Francisco","CA","94118","96.0","4.5"
"kowloon tong dessert cafe","393 07th ave","San Francisco","CA","94118","90.0","3.5"
"picnic on third","493 03rd st","San Francisco","CA","94107","87.0","4.5"
"hookt mini doughnuts","1379 4th st","San Francisco","CA","94122","100.0","4.5"
"papa mak's burgers","3755 noriega st","San Francisco","CA","94122","94.0","3.5"
"beloved cafe","3338 24th st","San Francisco","CA","94110","96.0","4.5"
"ak subs","397 08th st","San Francisco","CA","94103","92.0","4.0"
"the fruit tree","2241 geary blvd","San Francisco","CA","94115","100.0","4.5"
"torraku ramen","428 11th st","San Francisco","CA","94103","82.0","4.0"
"tanguito","2850 jones st","San Francisco","CA","94133","90.0","4.0"
"pork store cafe","1451 haight st","San Francisco","CA","94117","84.0","4.0"
"karma cafe","1901 hayes st","San Francisco","CA","94117","96.0","4.5"
"monterey deli","499 monterey blvd","San Francisco","CA","94127","92.0","4.5"
"cool cravings","601 van ness ave","San Francisco","CA","94102","80.0","4.5"
"parkside market","1600 hayes st","San Francisco","CA","94117","90.0","4.5"
"beachside coffee bar & kitchen","4300 judah st","San Francisco","CA","94122","85.0","4.0"
"el cafe","1400 taraval st","San Francisco","CA","94116","92.0","5.0"
