name,address,city,state,zip,inspection_score
vive la tarte,1 ferry building  north arcade 50/50a,San Francisco,CA,94111,100.0
ginger elizabeth chocolates,3108 fillmore st,San Francisco,CA,94123,96.0
williams-sonoma,340 post st,San Francisco,CA,94108,92.0
nijiya market,1737 post st 333,San Francisco,CA,94115,88.0
peet's coffee & tea,2300 16th st #240,San Francisco,CA,94103,98.0
tacos el primo,2225 jennings st,San Francisco,CA,94124,84.0
cafe encore,488 post st,San Francisco,CA,94109,92.0
jamba juice,2300 16th st.,San Francisco,CA,94103,94.0
kokio republic,428 11th st,San Francisco,CA,94109,84.0
railroad expresso cafe,705 \ blvd,San Francisco,CA,94127,92.0
noah's new york bagels #2147,2300 16 th st,San Francisco,CA,94103,96.0
whole foods market,1765 california st,San Francisco,CA,94109,88.0
juice shop,142 02nd st,San Francisco,CA,94105,100.0
sing sing,309 hyde st,San Francisco,CA,94109,88.0
streets,634 polk st,San Francisco,CA,94102,92.0
nabe,1325 09th ave,San Francisco,CA,94122,94.0
mediterrean food,3848 judah st,San Francisco,CA,94122,77.0
stable cafe,2128 folsom st,San Francisco,CA,94110,98.0
chatz,301 arkansas st,San Francisco,CA,94107,90.0
potrero terrace market,990 wisconsin st,San Francisco,CA,94107,98.0
sea breeze cafe,3940 judah st,San Francisco,CA,94122,96.0
san francisco tennis club,645 05th st,San Francisco,CA,94107,85.0
inner fog,555 irving st  #1,San Francisco,CA,94122,96.0
hai's restaurant,227 hyde st,San Francisco,CA,94102,94.0
cafe dolci,740 market st,San Francisco,CA,94102,96.0
"hotel utah saloon, the",500 04th st,San Francisco,CA,94107,92.0
el tepa,2198 folsom st,San Francisco,CA,94110,92.0
ganim's market,1135 18th st,San Francisco,CA,94107,94.0
sugar lounge,377 hayes st,San Francisco,CA,94102,85.0
the crab station of fisherman's wharf,foot of taylor st #2,San Francisco,CA,94133,79.0
the golden west,8 trinity pl,San Francisco,CA,94104,89.0
slurp noodle bar,469 castro st,San Francisco,CA,94114,82.0
crab station at fisherman's wharf,pier 45  shed b unit d,San Francisco,CA,94133,100.0
provender,1415 18th st,San Francisco,CA,94107,96.0
"broadmoor, the",1499 sutter st,San Francisco,CA,94109,94.0
thai cottage restaurant,4041 judah st,San Francisco,CA,94122,98.0
trader joe's #200,1095 hyde st,San Francisco,CA,94109,100.0
ladle & leaf,1 market st.,San Francisco,CA,94105,96.0
javalenica cafe,920 valencia st,San Francisco,CA,94110,81.0
kara's cupcakes,3249 scott,San Francisco,CA,94123,92.0
lombard union 76,2498 lombard st,San Francisco,CA,94123,94.0
golden gate market,2767 lombard st,San Francisco,CA,94123,86.0
una mas mexican grill,1 market pl 23,San Francisco,CA,94105,90.0
castillito yocateco,2052 mission st,San Francisco,CA,94110,94.0
island market and deli,"1 avenue of the palms,  suite a",San Francisco,CA,94130,90.0
delarosa,37 yerba buena ln,San Francisco,CA,94103,78.0
the tipsy pig,2231 chestnut st,San Francisco,CA,94123,93.0
guckenheimer - cafe express,420 montgomery st,San Francisco,CA,94104,96.0
guckenheimer - penthouse,420 montgomery st,San Francisco,CA,94104,98.0
miller's rest,1085 sutter st,San Francisco,CA,94109,89.0
st mary's hospital cafeteria,450 stanyan st l-b,San Francisco,CA,94117,100.0
limon rotisserie,5800 03rd st  1004,San Francisco,CA,94124,90.0
red door coffee,111 minna st,San Francisco,CA,94105,94.0
nick's lighthouse,pier 45  shed b space 1a,San Francisco,CA,94133,96.0
thinker's cafe,1631 20th st,San Francisco,CA,94107,96.0
ben & jerry's,5913 03rd st,San Francisco,CA,94124,94.0
gallery cafe,1200 mason st,San Francisco,CA,94108,96.0
university club,800 powell st,San Francisco,CA,94108,100.0
sammy's on 2nd,84 02nd st,San Francisco,CA,94105,96.0
noodle city,1165 powell st,San Francisco,CA,94108,100.0
southern pacific brewing,620 treat ave,San Francisco,CA,94110,91.0
bbc cafe,1485 bayshore blvd,San Francisco,CA,94124,92.0
f2 founders llc,400 grove st,San Francisco,CA,94102,89.0
kushi tsuru,1737 post st 380,San Francisco,CA,94115,78.0
my ivy corp.,1901 divisadero st,San Francisco,CA,94115,92.0
mikado sushi inc.,1684 bryant st,San Francisco,CA,94103,69.0
as quoted,3613 sacramento st,San Francisco,CA,94118,89.0
portico,245 market st #3,San Francisco,CA,94103,80.0
tenroku sushi,1825 post st #215,San Francisco,CA,94115,83.0
fat beli deli,2598 san bruno ave,San Francisco,CA,94134,84.0
tacos el ojo de agua,551 03rd st,San Francisco,CA,94107,92.0
togo's,2300 16th st,San Francisco,CA,94103,78.0
krispy krunchy chicken,4517 3rd st,San Francisco,CA,94124,92.0
la capra coffee,50 fremont st,San Francisco,CA,94105,92.0
rickshaw stop,155 fell st,San Francisco,CA,94102,96.0
mozzeria,3228 16th st,San Francisco,CA,94103,92.0
bayshore taqueria,300 bayshore blvd #a,San Francisco,CA,94124,83.0
osha thai noodle cafe,696 geary st,San Francisco,CA,94102,78.0
ty pho,4845 mission st,San Francisco,CA,94112,76.0
mendocino farms,465 california st,San Francisco,CA,94104,96.0
smokin' warehouse bbq,3336 sacramento ave,San Francisco,CA,94118,92.0
goku,3232 16th st,San Francisco,CA,94103,90.0
la tortilla,495 castro st b,San Francisco,CA,94114,86.0
san francisco marriott union square - main kitchen,480 sutter st 1st floor,San Francisco,CA,94108,90.0
san francisco marriott union square - employee,480 sutter st service level,San Francisco,CA,94108,96.0
maruya,2931 16th st,San Francisco,CA,94103,91.0
sf marriott union square (banquet kitchen),480 sutter st mezzanine,San Francisco,CA,94108,93.0
jefferson elementary school,1725 irving st,San Francisco,CA,94122,100.0
the house,1230 grant ave,San Francisco,CA,94133,92.0
pizzahacker,3299 mission st,San Francisco,CA,94110,90.0
gabby's market & deli,201 harrison st c,San Francisco,CA,94105,98.0
round table pizza restaurant,3567 geary blvd,San Francisco,CA,94118,83.0
original buffalo wings,2499 lombard st,San Francisco,CA,94123,69.0
cafe bellini,865 market st c45,San Francisco,CA,94103,98.0
fujiyama-ya,1234 noriega st,San Francisco,CA,94122,87.0
lotus garden vietnamese cuisine,3216 mission st,San Francisco,CA,94110,94.0
lin's kitchen,337 jones st,San Francisco,CA,94102,76.0
sqwers restaurant,3015 geary blvd,San Francisco,CA,94118,85.0
kaiju eats inc,3409 geary blvd,San Francisco,CA,94118,77.0
fish and farm,424 clay st,San Francisco,CA,94111,98.0
3rd cousin,919 cortland ave,San Francisco,CA,94110,100.0
cha-ya restaurant,762 valencia st,San Francisco,CA,94110,92.0
smashburger store #1271,2300 16th st #293,San Francisco,CA,94103,93.0
jasmine tea house,3253 mission st.,San Francisco,CA,94110,87.0
kin khao thai eatery,55 cyril magnin st,San Francisco,CA,94102,89.0
george's zoo,2560 sloat blvd,San Francisco,CA,94116,100.0
popeyes chicken & biscuits,1426 fillmore st space t,San Francisco,CA,94115,82.0
hidive,pier 28 1/2,San Francisco,CA,94105,96.0
mayah's restaurant cafe,550 15th st,San Francisco,CA,94103,96.0
new college hill market,3798 mission st,San Francisco,CA,94110,98.0
lincoln 76,1200 la playa st,San Francisco,CA,94122,100.0
fire of brazil express,845 market st box a,San Francisco,CA,94103,94.0
wetzel's pretzels,865 market st ste. 9008,San Francisco,CA,94103,87.0
ten ichi restaurant,2235 fillmore st,San Francisco,CA,94115,78.0
godiva chocolatier,865 market st  sp #307,San Francisco,CA,94103,94.0
caffe central,845 market st,San Francisco,CA,94103,85.0
nopalito,1224 9th ave,San Francisco,CA,94122,87.0
grumpy cafe,66 dorman ave,San Francisco,CA,94124,81.0
perry's embarcadero,155 steuart st,San Francisco,CA,94105,81.0
loving hut vegan cuisine,845 market st fe12,San Francisco,CA,94103,74.0
taqueria zorro,308 columbus ave,San Francisco,CA,94133,81.0
burger bar sf,251 geary st 6th floor,San Francisco,CA,94102,81.0
sur la table,845 market st space#015,San Francisco,CA,94103,92.0
pho hour,1114 bryant st,San Francisco,CA,94103,76.0
gorkha kitchen,1386 9th ave,San Francisco,CA,94122,81.0
frujuice,865 market st.,San Francisco,CA,94103,81.0
twin peaks pizza and pasta,1681 church st,San Francisco,CA,94131,87.0
uno dos taco,595 market st suite 160,San Francisco,CA,94105,76.0
restaurante monte cristo #2,6286 03rd st,San Francisco,CA,94124,88.0
cafe rocco,1131 folsom st,San Francisco,CA,94103,76.0
b & j quarter pounder burgers,6202 03rd st,San Francisco,CA,94124,85.0
gastronaut llc,5919 03rd st,San Francisco,CA,94124,98.0
zesty inc.,5919 03rd st,San Francisco,CA,94124,100.0
marco polo italian ice cream,1447 taraval st,San Francisco,CA,94116,98.0
uma casa,1550 church st,San Francisco,CA,94131,98.0
grubbin',1404 taraval st,San Francisco,CA,94116,96.0
fairmount elementary school,65 chenery st,San Francisco,CA,94131,100.0
amber india corporation,25 yerba buena ln,San Francisco,CA,94103,85.0
rosamunde sausage grill,2832 mission st,San Francisco,CA,94110,90.0
samovar tea lounge yerba buena llc,730 howard st,San Francisco,CA,94103,84.0
royal ground coffee,3101 geary blvd,San Francisco,CA,94118,96.0
pancho's,3440 geary blvd,San Francisco,CA,94118,90.0
blue bottle coffee,1 ferry building  kiosk #56,San Francisco,CA,94111,100.0
fayes,3614 18th st,San Francisco,CA,94110,94.0
cathead's bbq,1665 folsom st,San Francisco,CA,94103,92.0
"fresca gardens, inc","135 4th st,  fc-6",San Francisco,CA,94103,88.0
brothers restaurant,4128 geary blvd,San Francisco,CA,94118,85.0
safeway stores inc #711,15 marina bl,San Francisco,CA,94123,92.0
big fish little fish poke,845 market st fe2,San Francisco,CA,94103,94.0
papa john's pizza,969 sutter st,San Francisco,CA,94109,98.0
bi-rite creamery,3692 18th st,San Francisco,CA,94110,90.0
subway sandwiches,1199 sutter st,San Francisco,CA,94109,94.0
ferry building commissary,1 ferry building  #8a,San Francisco,CA,94111,100.0
pho dong huong,667 monterey blvd,San Francisco,CA,94127,63.0
adelita's cakes,3780 mission st,San Francisco,CA,94110,68.0
turtle tower restaurant,5716 geary blvd,San Francisco,CA,94121,73.0
pacific catch,2027 chestnut st,San Francisco,CA,94123,90.0
i'a poke,1515 fillmore st,San Francisco,CA,94114,86.0
mandarin house sf,3452 mission st.,San Francisco,CA,94110,74.0
chipotle mexican grill #1560,333 jefferson st #104,San Francisco,CA,94133,92.0
bamboo asia,41 montgomery st,San Francisco,CA,94101,86.0
tacolicious,1548 stockton st,San Francisco,CA,94133,81.0
tap (415),845 market st #495,San Francisco,CA,94103,80.0
sorabol korean bbq and asian noodles,845 market st  fe-3,San Francisco,CA,94103,79.0
eterna primavera bakery,2951 24th st bldg,San Francisco,CA,94110,96.0
yoppi yogurt,845 market st 277,San Francisco,CA,94103,92.0
coast poke counter,2948 folsom st,San Francisco,CA,94110,100.0
blue front deli,1430 haight st,San Francisco,CA,94117,90.0
the pub,900 north point st ste. h104,San Francisco,CA,94109,88.0
duc loi's pantry,"5900 3rd st, c2001",San Francisco,CA,94124,90.0
kingdom of dumpling,1713 taraval st,San Francisco,CA,94116,86.0
laksa,1005 guerrero st,San Francisco,CA,94110,88.0
foxtail catering & events,2565 03rd st unit#310,San Francisco,CA,94107,94.0
bashfull bull too,3600 taraval st,San Francisco,CA,94116,83.0
lers ros thai noodle,730 larkin st,San Francisco,CA,94109,86.0
russell's convenience #621,199 fremont st,San Francisco,CA,94105,88.0
jasper's corner tap & kitchen,401 taylor st,San Francisco,CA,94102,82.0
blue danube coffee house,306 clement st,San Francisco,CA,94118,89.0
town hall restaurant,342 howard street,San Francisco,CA,94105,74.0
lakeshore elementary school,220 middlefield dr,San Francisco,CA,94132,92.0
clement bbq restaurant,617 clement st,San Francisco,CA,94118,69.0
ghirardelli chocolate fountain,801 beach st,San Francisco,CA,94109,100.0
rs94109,835 larkin st,San Francisco,CA,94109,96.0
milkbean,881 post st,San Francisco,CA,94109,94.0
garajito,257 3rd st,San Francisco,CA,94103,96.0
king of thai noodle house,639 clement st,San Francisco,CA,94118,80.0
starbucks #5852,199 fremont st,San Francisco,CA,94103,100.0
palio paninoteca,"2565 03rd st, # 307",San Francisco,CA,94107,90.0
the fudbox,2565 3rd st    suite 307,San Francisco,CA,94107,98.0
starbuck's coffee #6605,2727 mariposa st,San Francisco,CA,94110,96.0
jerusulem,1300 fitzgerald ave,San Francisco,CA,94124,92.0
b restaurant,720 howard st,San Francisco,CA,94103,90.0
united irish cultural center,2700 45th ave,San Francisco,CA,94116,90.0
panchitas restaurant,3091 16th st,San Francisco,CA,94103,83.0
bi rite market,3639 18th st,San Francisco,CA,94110,93.0
java beach at the zoo,2650 sloat blvd,San Francisco,CA,94116,94.0
ritu indian soul food,3111 24th st,San Francisco,CA,94110,98.0
puerto alegre no. 2,2950 25th st,San Francisco,CA,94110,98.0
pectopah llc,748 innes ave,San Francisco,CA,94124,93.0
cozy cafe,965 sutter st suite c,San Francisco,CA,94109,98.0
paramo coffee,57 09th st,San Francisco,CA,94103,98.0
"chutney usa, inc.",511 jones st,San Francisco,CA,94102,73.0
grandeho's kamekyo ii,2721 hyde st,San Francisco,CA,94109,81.0
"la corneta, inc",2834 diamond st,San Francisco,CA,94131,90.0
"safeway stores, inc. #995",1335 webster st,San Francisco,CA,94115,88.0
pacific eatery,977 a north point st,San Francisco,CA,94109,86.0
last drop tavern,550 3 st,San Francisco,CA,94108,79.0
herlen place,334 grant ave,San Francisco,CA,94108,87.0
afc sushi @ safeway #995,1335 webster st,San Francisco,CA,94115,94.0
ghirardelli chocolate,845 market st suite 014,San Francisco,CA,94103,96.0
dinosaurs,2275 market st unit h,San Francisco,CA,94114,96.0
gas & shop,599 south van ness ave,San Francisco,CA,94110,77.0
domino's#8418,3116 noriega st #38th,San Francisco,CA,94122,89.0
social kitchen & brewery,1326 09th ave,San Francisco,CA,94122,68.0
subway sandwiches #25379,30 02nd st,San Francisco,CA,94105,75.0
nick's super market,144 page st,San Francisco,CA,94117,100.0
yvonne's southern sweets,5128 03rd st,San Francisco,CA,94124,98.0
sushi kazu,841 irving st,San Francisco,CA,94122,90.0
san francisco food bank,900 pennsylvania st,San Francisco,CA,94107,100.0
all nite pizza & foods,5155 03rd st,San Francisco,CA,94124,88.0
